Date,Ticker,drawdown_90d,fgi
2023-01-29,BTC,0.0,55.0
2023-01-30,BTC,-0.03858724723383993,61.0
2023-01-31,BTC,-0.025994532964371535,51.0
2023-02-01,BTC,-0.00040602637486677443,56.0
2023-02-02,BTC,-0.010671249205005437,60.0
2023-02-03,BTC,-0.013073712319362397,60.0
2023-02-04,BTC,-0.017498725902713685,58.0
2023-02-05,BTC,-0.034090631488945866,58.0
2023-02-06,BTC,-0.04126727402147218,56.0
2023-02-07,BTC,-0.02113695808746415,54.0
2023-02-08,BTC,-0.032823273229636525,58.0
2023-02-09,BTC,-0.08196130956141573,55.0
2023-02-10,BTC,-0.08917038366122915,48.0
2023-02-11,BTC,-0.07917303715309806,49.0
2023-02-12,BTC,-0.08250085290810066,50.0
2023-02-13,BTC,-0.08290393095866863,48.0
2023-02-14,BTC,-0.06496674711380107,50.0
2023-02-15,BTC,0.0,53.0
2023-02-16,BTC,-0.033149496074872324,62.0
2023-02-17,BTC,0.0,61.0
2023-02-18,BTC,0.0,60.0
2023-02-19,BTC,-0.014622878010064259,60.0
2023-02-20,BTC,0.0,58.0
2023-02-21,BTC,-0.015700702836302777,60.0
2023-02-22,BTC,-0.026567292751849738,59.0
2023-02-23,BTC,-0.036309183566672835,56.0
2023-02-24,BTC,-0.06669739395061629,53.0
2023-02-25,BTC,-0.0678333641947976,52.0
2023-02-26,BTC,-0.05182109475006248,51.0
2023-02-27,BTC,-0.05434744104789433,50.0
2023-02-28,BTC,-0.068457302493338,53.0
2023-03-01,BTC,-0.04883746206052602,50.0
2023-03-02,BTC,-0.05542504287059926,51.0
2023-03-03,BTC,-0.10014652486494757,50.0
2023-03-04,BTC,-0.10045929909589332,50.0
2023-03-05,BTC,-0.09709123990628846,47.0
2023-03-06,BTC,-0.09790598256193093,48.0
2023-03-07,BTC,-0.10644145848596347,49.0
2023-03-08,BTC,-0.1262673998277126,50.0
2023-03-09,BTC,-0.18033749023838466,44.0
2023-03-10,BTC,-0.18885243657969109,34.0
2023-03-11,BTC,-0.17657333086441623,33.0
2023-03-12,BTC,-0.11452649121253351,33.0
2023-03-13,BTC,-0.02933395592982913,49.0
2023-03-14,BTC,-0.006915249052016362,56.0
2023-03-15,BTC,-0.022403007785139838,50.0
2023-03-16,BTC,0.0,52.0
2023-03-17,BTC,0.0,51.0
2023-03-18,BTC,-0.017800244057976707,64.0
2023-03-19,BTC,0.0,63.0
2023-03-20,BTC,-0.00914671966087143,66.0
2023-03-21,BTC,0.0,68.0
2023-03-22,BTC,-0.030403334297558447,62.0
2023-03-23,BTC,0.0,57.0
2023-03-24,BTC,-0.029720014659621426,61.0
2023-03-25,BTC,-0.029420319408695585,64.0
2023-03-26,BTC,-0.011569367611213289,64.0
2023-03-27,BTC,-0.04136713339725418,64.0
